,Product ID,Category,Sub-Category,Product Name,Unit Price
25,TEC-LOG-10003896,Technology,Accessories,"Logitech Router, Erganomic",245.13
26,OFF-AP-10002568,Office Supplies,Appliances,"Hamilton Beach Toaster, Black",56.94
27,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,150.98
28,FUR-HAR-10001792,Furniture,Chairs,"Harbour Creations Bag Chairs, Red",61.62
29,FUR-CH-10002830,Furniture,Chairs,"Office Star Rocking Chair, Red",140.91
30,OFF-FEL-10002867,Office Supplies,Storage,"Fellowes Lockers, Single Width",207.36
31,TEC-MA-10002520,Technology,Machines,"Panasonic Receipt Printer, White",119.31
32,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,285.98
33,TEC-SHA-10004874,Technology,Copiers,"Sharp Fax Machine, High-Speed",293.85
34,FUR-TA-10001866,Furniture,Tables,Bevis Round Conference Room Tables and Bases,179.29
35,OFF-AR-10004151,Office Supplies,Art,"BIC Sketch Pad, Blue",48.66
36,FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair,86.25
37,FUR-HON-10002424,Furniture,Chairs,"Hon Steel Folding Chair, Red",81.42
38,OFF-FEL-10002897,Office Supplies,Storage,"Fellowes Shelving, Single Width",57.87
39,TEC-APP-10004912,Technology,Phones,"Apple Speaker Phone, with Caller ID",123.3
40,OFF-AR-10001418,Office Supplies,Art,"BIC Markers, Easy-Erase",26.7
41,TEC-KON-10002194,Technology,Machines,"Konica Printer, White",266.25
42,FUR-FU-10002210,Furniture,Furnishings,"Tenex Clock, Black",50.25
43,FUR-CH-10001465,Furniture,Chairs,"Hon Swivel Stool, Red",163.65
44,OFF-EN-10004495,Office Supplies,Envelopes,"Kraft Peel and Seal, Security-Tint",22.89
45,TEC-AC-10004791,Technology,Accessories,"Belkin Keyboard, USB",84.09
46,TEC-PH-10001619,Technology,Phones,"Cisco Signal Booster, Full Size",153.12
47,FUR-SAF-10004530,Furniture,Bookcases,"Safco Floating Shelf Set, Traditional",196.74
48,OFF-ST-10000875,Office Supplies,Storage,"Smead Shelving, Single Width",48.96
49,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57.23
50,OFF-STA-10000298,Office Supplies,Art,"Stanley Canvas, Blue",49.47
51,OFF-ST-10000988,Office Supplies,Storage,"Fellowes Folders, Blue",26.4
52,OFF-ST-10001469,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,53.98
53,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,26.48
54,TEC-STA-10004927,Technology,Machines,"StarTech Receipt Printer, Wireless",110.58
55,OFF-ACC-10004692,Office Supplies,Binders,"Acco 3-Hole Punch, Recycled",30.48
56,TEC-MA-10001825,Technology,Machines,"Epson Calculator, Durable",46.53
57,OFF-SU-10001770,Office Supplies,Supplies,"Acme Scissors, Easy Grip",27.06
58,OFF-PA-10000116,Office Supplies,Paper,"Xerox Parchment Paper, Premium",13.26
59,OFF-ELD-10002578,Office Supplies,Storage,"Eldon Box, Single Width",10.29
60,OFF-AR-10004884,Office Supplies,Art,"Sanford Pens, Fluorescent",12.36
61,OFF-AR-10000505,Office Supplies,Art,"Binney & Smith Pens, Easy-Erase",12.21
62,OFF-ST-10000127,Office Supplies,Storage,"Fellowes Shelving, Wire Frame",56.91
63,OFF-OIC-10002161,Office Supplies,Fasteners,"OIC Push Pins, Assorted Sizes",12.36
64,OFF-HON-10001783,Office Supplies,Labels,"Hon Shipping Labels, 5000 Label Set",11.76
65,FUR-NOV-10004962,Furniture,Chairs,"Novimex Bag Chairs, Adjustable",48.45
66,OFF-FA-10004395,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,4.71
67,OFF-PA-10003036,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",7.28
68,OFF-HON-10000137,Office Supplies,Labels,"Hon Round Labels, Laser Printer Compatible",6.66
70,OFF-BI-10004436,Office Supplies,Binders,"Acco Hole Reinforcements, Recycled",7.02
71,OFF-BI-10000583,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Clear",3.99
72,OFF-BI-10003650,Office Supplies,Binders,"Ibico Index Tab, Clear",8.91
73,OFF-TEN-10003211,Office Supplies,Storage,"Tenex Box, Wire Frame",15.57
74,OFF-HOO-10002386,Office Supplies,Appliances,"Hoover Toaster, Silver",84.39
75,TEC-PH-10003655,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,1.98
76,TEC-PH-10003963,Technology,Phones,"Apple Signal Booster, Full Size",137.94
77,OFF-BI-10003705,Office Supplies,Binders,"Wilson Jones Binding Machine, Recycled",49.32
78,FUR-BO-10003408,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Metal",141.9
79,OFF-AR-10000399,Office Supplies,Art,"Stanley Canvas, Water Color",52.65
80,TEC-PH-10002871,Technology,Phones,"Motorola Audio Dock, with Caller ID",115.58
81,OFF-BI-10004651,Office Supplies,Binders,"Cardinal Binding Machine, Clear",49.23
82,OFF-AP-10002753,Office Supplies,Appliances,"Cuisinart Toaster, Red",35.64
83,TEC-AC-10004379,Technology,Accessories,"SanDisk Flash Drive, Programmable",41.04
84,TEC-AC-10002760,Technology,Accessories,"Memorex Memory Card, Erganomic",66.72
85,TEC-AC-10003851,Technology,Accessories,"Memorex Keyboard, Bluetooth",47.56
86,FUR-CH-10004783,Furniture,Chairs,"Novimex Chairmat, Red",37.56
87,OFF-ST-10001374,Office Supplies,Storage,"Rogers Trays, Wire Frame",40.5
88,OFF-AR-10001991,Office Supplies,Art,"Stanley Markers, Easy-Erase",14.98
89,FUR-FU-10003283,Furniture,Furnishings,"Rubbermaid Stacking Tray, Durable",16.76
90,OFF-ST-10004857,Office Supplies,Storage,"Smead Folders, Single Width",17.52
91,OFF-LA-10002312,Office Supplies,Labels,Avery 490,14.8
92,OFF-ST-10003319,Office Supplies,Storage,"Rogers Box, Wire Frame",23.04
93,OFF-BI-10000188,Office Supplies,Binders,"Cardinal Hole Reinforcements, Economy",3.56
94,OFF-ST-10000636,Office Supplies,Storage,Rogers Profile Extra Capacity Storage Tub,16.74
95,OFF-BI-10004305,Office Supplies,Binders,"Cardinal Hole Reinforcements, Durable",4.56
96,OFF-BI-10002222,Office Supplies,Binders,"Cardinal Binder Covers, Clear",7.64
97,OFF-BI-10000042,Office Supplies,Binders,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",5.34
98,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,3.12
99,OFF-LA-10001764,Office Supplies,Labels,"Avery Round Labels, Adjustable",5.04
100,OFF-EN-10002226,Office Supplies,Envelopes,"Jiffy Clasp Envelope, Recycled",4.88
101,FUR-CH-10003841,Furniture,Chairs,"Harbour Creations Swivel Stool, Black",177.69
102,FUR-BO-10004254,Furniture,Bookcases,"Ikea Classic Bookcase, Traditional",411.75
103,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,300.65
104,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,125.99
106,TEC-AC-10000140,Technology,Accessories,"Enermax Numeric Keypad, Bluetooth",57.54
107,FUR-BO-10002084,Furniture,Bookcases,"Dania Library with Doors, Metal",241.24
108,TEC-AC-10002263,Technology,Accessories,"SanDisk Memory Card, Bluetooth",112.41
109,TEC-AC-10001082,Technology,Accessories,"Enermax Keyboard, Bluetooth",55.64
111,TEC-PH-10004888,Technology,Phones,"Samsung Audio Dock, VoIP",111.28
112,OFF-AR-10003336,Office Supplies,Art,"Sanford Pencil Sharpener, Easy-Erase",18.06
113,TEC-PH-10003770,Technology,Phones,"Apple Speaker Phone, Full Size",124.59
114,OFF-FEL-10001865,Office Supplies,Storage,"Fellowes File Cart, Wire Frame",136.38
115,OFF-EN-10003465,Office Supplies,Envelopes,"Cameo Peel and Seal, Security-Tint",23.4
116,TEC-AC-10003738,Technology,Accessories,"Enermax Mouse, Erganomic",25.4
117,OFF-AR-10002135,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,48.2
118,OFF-BI-10002225,Office Supplies,Binders,"Cardinal Binding Machine, Durable",51.27
119,OFF-BI-10001765,Office Supplies,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,34.64
120,OFF-ST-10004972,Office Supplies,Storage,"Eldon Shelving, Blue",48.42
121,OFF-BI-10004924,Office Supplies,Binders,"Cardinal 3-Hole Punch, Economy",28.8
122,OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart,83.36
123,TEC-ENE-10002686,Technology,Accessories,"Enermax Numeric Keypad, Erganomic",58.83
124,OFF-SME-10002823,Office Supplies,Storage,"Smead Trays, Blue",48.48
125,OFF-AP-10004859,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,14.56
126,FUR-CH-10001204,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Red",97.89
127,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",7.98
128,OFF-EN-10002007,Office Supplies,Envelopes,"Kraft Clasp Envelope, with clear poly window",12.54
129,OFF-WIL-10002233,Office Supplies,Binders,"Wilson Jones Index Tab, Durable",7.95
130,OFF-KRA-10000492,Office Supplies,Envelopes,"Kraft Manila Envelope, Recycled",25.29
131,OFF-SAN-10002839,Office Supplies,Art,"Sanford Canvas, Fluorescent",51.78
132,OFF-BI-10000179,Office Supplies,Binders,"Wilson Jones 3-Hole Punch, Economy",27.99
133,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,3.7
134,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,6.48
135,OFF-EN-10002849,Office Supplies,Envelopes,"Kraft Interoffice Envelope, with clear poly window",50.46
136,OFF-BI-10003440,Office Supplies,Binders,"Avery Binder Covers, Economy",11.07
137,OFF-STO-10000683,Office Supplies,Fasteners,"Stockwell Thumb Tacks, Assorted Sizes",10.59
138,OFF-BI-10001072,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",15.16
139,OFF-ADV-10004875,Office Supplies,Fasteners,"Advantus Staples, Bulk Pack",10.86
140,OFF-IBI-10001640,Office Supplies,Binders,"Ibico Hole Reinforcements, Economy",6.99
141,FUR-TA-10003747,Furniture,Tables,"Lesro Round Table, Rectangular",449.58
142,TEC-PH-10004586,Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,359.95
143,FUR-TA-10003185,Furniture,Tables,"Chromcraft Computer Table, Fully Assembled",444.9
144,OFF-AR-10000019,Office Supplies,Art,"BIC Highlighters, Blue",12.62
145,FUR-BO-10004567,Furniture,Bookcases,"Bush Floating Shelf Set, Mobile",115.86
146,OFF-PA-10001170,Office Supplies,Paper,"Xerox Cards & Envelopes, Multicolor",30.92
147,OFF-AR-10003217,Office Supplies,Art,"Sanford Highlighters, Fluorescent",17.01
148,FUR-ELD-10000857,Furniture,Furnishings,"Eldon Door Stop, Erganomic",48.78
149,OFF-BI-10003355,Office Supplies,Binders,Cardinal Holdit Business Card Pockets,4.98
150,OFF-ACC-10001285,Office Supplies,Binders,"Acco Index Tab, Clear",8.58
151,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,2.88
152,TEC-CO-10000129,Technology,Copiers,"Brother Fax and Copier, Color",192.93
153,TEC-MA-10000429,Technology,Machines,"Konica Card Printer, Red",172.32
154,FUR-OFF-10002542,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",469.92
155,FUR-SAF-10002180,Furniture,Chairs,"SAFCO Executive Leather Armchair, Red",461.43
156,FUR-CH-10003440,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Set of Two",100.14
157,TEC-AC-10001486,Technology,Accessories,"Belkin Flash Drive, Programmable",43.44
158,OFF-ROG-10001399,Office Supplies,Storage,"Rogers Shelving, Single Width",62.16
159,OFF-STA-10004108,Office Supplies,Art,"Stanley Canvas, Easy-Erase",49.74
160,OFF-CUI-10000140,Office Supplies,Appliances,"Cuisinart Microwave, Silver",279.21
161,OFF-ST-10003414,Office Supplies,Storage,"Tenex Shelving, Industrial",55.14
162,OFF-HOO-10002715,Office Supplies,Appliances,"Hoover Coffee Grinder, White",66.93
163,OFF-FA-10001097,Office Supplies,Fasteners,"Accos Paper Clips, Assorted Sizes",11.49
164,OFF-EN-10004173,Office Supplies,Envelopes,"Ames Peel and Seal, Recycled",17.49
165,FUR-BO-10003086,Furniture,Bookcases,"Safco Library with Doors, Traditional",389.79
166,OFF-STI-10002716,Office Supplies,Supplies,"Stiletto Box Cutter, Serrated",32.67
168,OFF-CAR-10004661,Office Supplies,Binders,"Cardinal Binding Machine, Recycled",50.13
169,OFF-ELD-10000151,Office Supplies,Storage,"Eldon File Cart, Industrial",127.89
170,FUR-TEN-10000407,Furniture,Furnishings,"Tenex Door Stop, Erganomic",42.51
171,TEC-AC-10003734,Technology,Accessories,"Memorex Numeric Keypad, Erganomic",46.71
172,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,48.94
173,OFF-AP-10001005,Office Supplies,Appliances,Honeywell Quietcare HEPA Air Cleaner,78.65
174,OFF-ACM-10003510,Office Supplies,Supplies,"Acme Scissors, High Speed",25.44
175,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,13.79
176,TEC-SAN-10003793,Technology,Accessories,"SanDisk Memory Card, Erganomic",110.22
177,OFF-BI-10004506,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,8.23
178,OFF-CAR-10000687,Office Supplies,Binders,"Cardinal Binder Covers, Economy",12.0
179,OFF-IBI-10004074,Office Supplies,Binders,"Ibico 3-Hole Punch, Clear",29.91
180,OFF-PA-10000048,Office Supplies,Paper,"Xerox Memo Slips, Multicolor",14.94
181,OFF-AVE-10004708,Office Supplies,Binders,"Avery Binder, Recycled",13.26
182,OFF-AVE-10004570,Office Supplies,Binders,"Avery Binder Covers, Economy",11.07
183,OFF-ADV-10004598,Office Supplies,Fasteners,"Advantus Paper Clips, Metal",13.38
184,OFF-AVE-10003504,Office Supplies,Labels,"Avery Legal Exhibit Labels, 5000 Label Set",11.73
185,TEC-ENE-10000895,Technology,Accessories,"Enermax Mouse, Bluetooth",40.29
186,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,7.31
187,OFF-HAR-10001855,Office Supplies,Labels,"Harbour Creations Round Labels, Alphabetical",6.57
188,OFF-STA-10002719,Office Supplies,Art,"Stanley Pencil Sharpener, Easy-Erase",26.04
189,OFF-FA-10000992,Office Supplies,Fasteners,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",3.55
190,OFF-FEL-10000998,Office Supplies,Storage,"Fellowes Box, Single Width",19.71
191,OFF-CAR-10002054,Office Supplies,Binders,"Cardinal Hole Reinforcements, Economy",5.34
192,OFF-ST-10003295,Office Supplies,Storage,"Tenex Lockers, Blue",204.15
193,TEC-MA-10004669,Technology,Machines,"Epson Inkjet, Wireless",308.22
194,OFF-ST-10004837,Office Supplies,Storage,"Eldon File Cart, Single Width",127.92
195,TEC-PH-10002042,Technology,Phones,"Cisco Audio Dock, Full Size",183.36
196,OFF-PA-10004294,Office Supplies,Paper,"Xerox Computer Printout Paper, 8.5 x 11",20.32
197,FUR-CH-10000974,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black",473.61
198,OFF-ST-10002263,Office Supplies,Storage,"Rogers Trays, Wire Frame",60.75
199,TEC-AC-10002842,Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,119.0
200,TEC-APP-10002321,Technology,Phones,"Apple Signal Booster, Full Size",137.94
201,FUR-BO-10004082,Furniture,Bookcases,"Sauder Classic Bookcase, Metal",290.3
202,FUR-CH-10004095,Furniture,Chairs,"SAFCO Executive Leather Armchair, Adjustable",309.28
203,FUR-FU-10001098,Furniture,Furnishings,"Deflect-O Door Stop, Black",43.95
204,OFF-AP-10001049,Office Supplies,Appliances,"Breville Coffee Grinder, Silver",41.74
205,OFF-ST-10003056,Office Supplies,Storage,"Tenex Folders, Single Width",15.5
206,OFF-PA-10004100,Office Supplies,Paper,Xerox 216,6.48
207,OFF-BI-10002894,Office Supplies,Binders,"Avery Binding Machine, Durable",50.34
208,OFF-SU-10002962,Office Supplies,Supplies,"Acme Scissors, Serrated",14.76
209,OFF-SU-10001308,Office Supplies,Supplies,"Fiskars Trimmer, Serrated",39.0
210,OFF-BI-10004028,Office Supplies,Binders,"Ibico Index Tab, Durable",9.27
211,OFF-AR-10000659,Office Supplies,Art,"BIC Pencil Sharpener, Fluorescent",30.27
212,OFF-ROG-10000332,Office Supplies,Storage,"Rogers Box, Single Width",24.0
213,OFF-BI-10004716,Office Supplies,Binders,Wilson Jones Hanging Recycled Pressboard Data Binders,14.84
214,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",17.98
215,OFF-AR-10000493,Office Supplies,Art,"Boston Pencil Sharpener, Fluorescent",19.3
216,OFF-LA-10004709,Office Supplies,Labels,"Avery Round Labels, Laser Printer Compatible",7.14
217,OFF-HON-10001132,Office Supplies,Labels,"Hon Round Labels, Adjustable",4.56
218,OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,6.08
219,TEC-SAN-10003238,Technology,Accessories,"SanDisk Router, Erganomic",254.16
220,TEC-CO-10001177,Technology,Copiers,"HP Fax and Copier, Color",116.22
221,OFF-IBI-10000959,Office Supplies,Binders,"Ibico Binding Machine, Recycled",51.78
222,OFF-ELD-10000967,Office Supplies,Storage,"Eldon Folders, Industrial",17.46
223,OFF-CUI-10004536,Office Supplies,Appliances,"Cuisinart Blender, Black",66.42
224,OFF-EN-10003898,Office Supplies,Envelopes,"Ames Peel and Seal, Set of 50",12.46
225,OFF-FA-10003034,Office Supplies,Fasteners,"OIC Rubber Bands, 12 Pack",11.0
226,OFF-IBI-10001951,Office Supplies,Binders,"Ibico Hole Reinforcements, Clear",6.45
227,OFF-IBI-10002486,Office Supplies,Binders,"Ibico Index Tab, Clear",8.91
228,OFF-FA-10000254,Office Supplies,Fasteners,Sterling Rubber Bands by Alliance,4.71
229,TEC-PH-10001795,Technology,Phones,ClearOne CHATAttach 160 -†speaker phone,619.99
230,TEC-AC-10002914,Technology,Accessories,"Memorex Router, Programmable",247.71
231,TEC-CO-10000013,Technology,Copiers,"Brother Fax Machine, Laser",318.54
232,TEC-ENE-10000154,Technology,Accessories,"Enermax Router, Bluetooth",258.33
233,OFF-ST-10004576,Office Supplies,Storage,"Rogers File Cart, Single Width",141.63
234,TEC-CAN-10003392,Technology,Copiers,"Canon Copy Machine, Color",263.58
236,OFF-ST-10000624,Office Supplies,Storage,"Eldon File Cart, Single Width",128.37
237,TEC-PH-10004434,Technology,Phones,Cisco IP†Phone†7961G VoIP†phone†- Dark gray,135.95
238,OFF-ST-10001128,Office Supplies,Storage,"Carina Mini System Audio Rack, Model AR050B",110.98
239,FUR-BO-10001781,Furniture,Bookcases,"Bush Library with Doors, Traditional",242.88
240,OFF-BI-10001032,Office Supplies,Binders,"Avery Binding Machine, Recycled",49.2
241,FUR-BO-10000022,Furniture,Bookcases,"Dania Floating Shelf Set, Traditional",169.35
242,OFF-ST-10002159,Office Supplies,Storage,"Fellowes Lockers, Wire Frame",206.4
243,OFF-SU-10002388,Office Supplies,Supplies,"Elite Shears, Easy Grip",48.63
244,OFF-ST-10003964,Office Supplies,Storage,"Fellowes Lockers, Industrial",207.81
245,TEC-CO-10000043,Technology,Copiers,"Brother Fax Machine, Laser",212.36
246,TEC-STA-10000546,Technology,Machines,"StarTech Calculator, Red",37.11
247,TEC-CO-10003124,Technology,Copiers,"Canon Ink, Laser",147.15
248,OFF-AP-10002882,Office Supplies,Appliances,"KitchenAid Coffee Grinder, Silver",71.22
249,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98
250,OFF-EN-10002140,Office Supplies,Envelopes,"Jiffy Business Envelopes, Recycled",18.36
251,TEC-OKI-10001062,Technology,Machines,"Okidata Printer, White",266.91
252,FUR-CH-10001477,Furniture,Chairs,"Novimex Chairmat, Black",53.91
253,OFF-ST-10004695,Office Supplies,Storage,"Fellowes File Cart, Blue",137.31
254,OFF-ST-10004020,Office Supplies,Storage,"Tenex Lockers, Single Width",204.18
255,OFF-BI-10001744,Office Supplies,Binders,"Acco Binding Machine, Economy",51.09
256,OFF-SME-10003752,Office Supplies,Storage,"Smead File Cart, Single Width",128.43
257,FUR-CH-10004572,Furniture,Chairs,"Harbour Creations Bag Chairs, Red",61.62
258,OFF-SU-10003803,Office Supplies,Supplies,"Acme Trimmer, Steel",43.98
259,OFF-SU-10001578,Office Supplies,Supplies,"Stiletto Shears, High Speed",48.09
260,OFF-AR-10000184,Office Supplies,Art,"Boston Pencil Sharpener, Water Color",32.13
261,OFF-ST-10003547,Office Supplies,Storage,"Smead Shelving, Blue",48.93
262,OFF-ST-10004739,Office Supplies,Storage,"Rogers Folders, Industrial",31.17
263,OFF-PA-10003359,Office Supplies,Paper,"Eaton Cards & Envelopes, 8.5 x 11",49.32
264,OFF-AP-10004708,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,38.06
265,TEC-AC-10001226,Technology,Accessories,"Enermax Mouse, Programmable",41.79
266,TEC-SAM-10001017,Technology,Phones,"Samsung Speaker Phone, Cordless",126.09
267,OFF-ST-10000464,Office Supplies,Storage,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",34.76
268,FUR-CH-10003697,Furniture,Chairs,"Novimex Chairmat, Adjustable",39.22
269,FUR-FU-10002253,Furniture,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",42.94
270,OFF-EN-10000657,Office Supplies,Envelopes,"Jiffy Peel and Seal, with clear poly window",23.55
271,OFF-PA-10002382,Office Supplies,Paper,"Eaton Note Cards, Premium",18.66
272,OFF-ST-10001818,Office Supplies,Storage,"Smead Trays, Blue",48.48
273,TEC-EPS-10001323,Technology,Machines,"Epson Calculator, Wireless",46.41
274,TEC-MA-10004064,Technology,Machines,"Panasonic Calculator, Red",47.43
275,OFF-BI-10004220,Office Supplies,Binders,"Cardinal 3-Hole Punch, Recycled",29.16
276,OFF-BI-10000323,Office Supplies,Binders,"Wilson Jones 3-Hole Punch, Clear",27.45
277,OFF-STA-10004163,Office Supplies,Art,"Stanley Markers, Fluorescent",23.46
278,OFF-ST-10000423,Office Supplies,Storage,"Rogers Trays, Blue",41.12
279,OFF-LA-10001771,Office Supplies,Labels,Avery 513,4.98
280,TEC-PH-10000673,Technology,Phones,Plantronics Voyager Pro HD - Bluetooth Headset,64.99
281,TEC-ENE-10004728,Technology,Accessories,"Enermax Keyboard, Erganomic",81.27
282,OFF-SU-10003651,Office Supplies,Supplies,"Elite Ruler, Serrated",10.5
283,OFF-AVE-10004556,Office Supplies,Binders,"Avery Hole Reinforcements, Recycled",4.77
285,OFF-PA-10000806,Office Supplies,Paper,Xerox 1934,55.98
286,OFF-LA-10002401,Office Supplies,Labels,"Avery Shipping Labels, Laser Printer Compatible",7.9
287,OFF-LA-10003498,Office Supplies,Labels,Avery 475,14.8
288,OFF-LA-10000116,Office Supplies,Labels,"Harbour Creations File Folder Labels, Adjustable",4.42
289,OFF-AR-10001897,Office Supplies,Art,Model L Table or Wall-Mount Pencil Sharpener,17.99
290,OFF-BIN-10004569,Office Supplies,Art,"Binney & Smith Highlighters, Blue",16.59
291,OFF-AVE-10002892,Office Supplies,Binders,"Avery 3-Hole Punch, Recycled",28.23
292,FUR-FU-10003142,Furniture,Furnishings,"Master Big Foot Doorstop, Beige",5.28
293,OFF-PA-10000533,Office Supplies,Paper,Southworth Parchment Paper & Envelopes,6.54
294,OFF-SAN-10002441,Office Supplies,Art,"Sanford Highlighters, Blue",15.75
295,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,24.92
296,OFF-FA-10003496,Office Supplies,Fasteners,"Stockwell Push Pins, Assorted Sizes",7.88
297,OFF-CAR-10002942,Office Supplies,Binders,"Cardinal 3-Hole Punch, Recycled",29.16
299,OFF-AR-10000634,Office Supplies,Art,Newell 320,4.28
300,OFF-PA-10004947,Office Supplies,Paper,Staples,4.28
301,OFF-AR-10001919,Office Supplies,Art,"OIC #2 Pencils, Medium Soft",1.88
302,OFF-SME-10000335,Office Supplies,Storage,"Smead Box, Wire Frame",9.84
303,OFF-FA-10003021,Office Supplies,Fasteners,Staples,1.88
304,OFF-BI-10000494,Office Supplies,Binders,Acco Economy Flexible Poly Round Ring Binder,5.22
305,FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,350.98
306,TEC-AC-10001258,Technology,Accessories,"Belkin Router, Erganomic",256.56
307,FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,216.6
308,FUR-CH-10003746,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,320.98
309,FUR-TA-10000649,Furniture,Tables,"Bevis Computer Table, Adjustable Height",492.09
